number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_accuracy,user_attrs_mean_combined,user_attrs_mean_f1_weighted,user_attrs_mean_sharpe,user_attrs_std_accuracy,user_attrs_std_combined,user_attrs_std_f1_weighted,user_attrs_std_sharpe,state,mean_f1_weighted,std_f1_weighted,mean_accuracy,std_accuracy,mean_sharpe,std_sharpe,mean_combined,std_combined,trial_number
30,0.5086146949638097,2025-09-10 15:08:47.451938,2025-09-10 15:08:53.431979,0 days 00:00:05.980041,0.9987541277347343,0.8097639636412218,0.7626749568281305,2.033089603244395,0.07691603157904899,6,5,851,3.3702034493833195e-05,0.00029769670015377444,0.8889407985575839,0.45675883256528416,0.5086146949638097,0.43936547348619426,1.8412030593797974,0.12751473501167457,0.28813511727256563,0.13255644871401617,2.522865106346335,COMPLETE,0.43936547348619426,0.13255644871401617,0.45675883256528416,0.12751473501167457,1.8412030593797974,2.522865106346335,0.5086146949638097,0.28813511727256563,30
31,0.51310384283747,2025-09-10 15:08:53.443463,2025-09-10 15:09:00.597649,0 days 00:00:07.154186,0.6704021960534515,0.6913192469103565,0.7131834564904066,0.4207174060355402,0.023042542827542003,4,3,438,1.41480428834919e-07,8.610447519485351e-08,0.6263047505308094,0.4575268817204301,0.51310384283747,0.44568912099527647,1.8767290447891483,0.1279036618775729,0.26889620223558003,0.12742977921932128,2.469121160551992,COMPLETE,0.44568912099527647,0.12742977921932128,0.4575268817204301,0.1279036618775729,1.8767290447891483,2.469121160551992,0.51310384283747,0.26889620223558003,31
32,0.4995151772720373,2025-09-10 15:09:00.607132,2025-09-10 15:09:06.020368,0 days 00:00:05.413236,0.712161789674754,0.6419785639856024,0.8011729959851056,0.8569343688230455,0.025704776251257784,3,2,207,6.521379380844002e-07,4.235890551018116e-08,0.7496696631159031,0.4186635944700461,0.4995151772720373,0.3993562447384261,1.0623766854996557,0.11610573954260962,0.2835170131636345,0.13565488360670866,2.1743873868710035,COMPLETE,0.3993562447384261,0.13565488360670866,0.4186635944700461,0.11610573954260962,1.0623766854996557,2.1743873868710035,0.4995151772720373,0.2835170131636345,32
33,0.5914872614135362,2025-09-10 15:09:06.032883,2025-09-10 15:09:13.742989,0 days 00:00:07.710106,0.7753994561915123,0.6771819263028693,0.7512183837383586,0.35058191900023394,0.017329117540925157,4,4,297,4.772732151864806e-06,5.718137259721939e-07,0.6414448164016175,0.46105990783410133,0.5914872614135362,0.4462563020807797,2.0962002328863343,0.10679615102151926,0.19038530764112924,0.10793115321728985,1.7503339358762786,COMPLETE,0.4462563020807797,0.10793115321728985,0.46105990783410133,0.10679615102151926,2.0962002328863343,1.7503339358762786,0.5914872614135362,0.19038530764112924,33
34,0.5328542582550552,2025-09-10 15:09:13.760505,2025-09-10 15:09:19.891420,0 days 00:00:06.130915,0.7819363975886731,0.7057671679511937,0.7541151510670615,0.6827970982563474,0.01367094765543973,5,4,169,5.605005547194845e-06,4.4036275881284564e-07,0.6448207025755901,0.4609831029185868,0.5328542582550552,0.4459007962627296,1.6680822793452705,0.11243746474206338,0.2652066757809123,0.11389630814024342,1.9486134280854235,COMPLETE,0.4459007962627296,0.11389630814024342,0.4609831029185868,0.11243746474206338,1.6680822793452705,1.9486134280854235,0.5328542582550552,0.2652066757809123,34
35,0.5462121239272986,2025-09-10 15:09:19.903918,2025-09-10 15:09:27.162848,0 days 00:00:07.258930,0.8183607267954275,0.7432267543729386,0.6706590506014783,1.4097669274450766,0.01784955592468333,4,5,320,0.0014623899795001138,4.371496994364637e-06,0.770956669625197,0.4518433179723502,0.5462121239272986,0.4314750611065983,1.8367759069362526,0.11732500785328673,0.24177742578245232,0.12413923139788365,1.943365199846348,COMPLETE,0.4314750611065983,0.12413923139788365,0.4518433179723502,0.11732500785328673,1.8367759069362526,1.943365199846348,0.5462121239272986,0.24177742578245232,35
36,0.5744828741170056,2025-09-10 15:09:27.176324,2025-09-10 15:09:33.717014,0 days 00:00:06.540690,0.7610205265218967,0.7753745303025007,0.799629596241835,1.105863252067968,0.046827095252401515,5,4,228,0.00021077996052459066,8.734736507775242e-07,0.7230649549263638,0.46897081413210445,0.5744828741170056,0.45471348228785413,2.3574184672265948,0.12564579956905247,0.23040046834769928,0.12895230363478247,2.5058723708273156,COMPLETE,0.45471348228785413,0.12895230363478247,0.46897081413210445,0.12564579956905247,2.3574184672265948,2.5058723708273156,0.5744828741170056,0.23040046834769928,36
37,0.5203273320805311,2025-09-10 15:09:33.729014,2025-09-10 15:09:49.862598,0 days 00:00:16.133584,0.7118327368449662,0.6622129701231874,0.6947270606845882,0.28385114490624663,0.01011011740341852,8,3,153,2.464170826704848e-05,9.670109834477932e-06,0.7005232802973413,0.468663594470046,0.5203273320805311,0.42443402696611565,1.866449114162823,0.11782074311810115,0.24323739343612463,0.13622528433357237,2.333980006534119,COMPLETE,0.42443402696611565,0.13622528433357237,0.468663594470046,0.11782074311810115,1.866449114162823,2.333980006534119,0.5203273320805311,0.24323739343612463,37
38,0.49793323272101475,2025-09-10 15:09:49.874078,2025-09-10 15:09:58.320071,0 days 00:00:08.445993,0.7766099789359232,0.8433938524357627,0.783899090240932,2.6424819942468947,0.03341692040233983,9,4,231,5.626781666355373e-06,2.6486630464989945e-06,0.6007879663622918,0.45745007680491556,0.49793323272101475,0.4350017586842369,1.7737095826821803,0.1258147976577738,0.24671316064494492,0.1320954634959647,2.398378054070753,COMPLETE,0.4350017586842369,0.1320954634959647,0.45745007680491556,0.1258147976577738,1.7737095826821803,2.398378054070753,0.49793323272101475,0.24671316064494492,38
39,0.5354210144831238,2025-09-10 15:09:58.335540,2025-09-10 15:10:04.838682,0 days 00:00:06.503142,0.7357816337646069,0.73090999715512,0.8214204198255983,4.188371056817881,0.044608783154227366,4,7,412,8.725688328747546e-07,3.8528339953075864e-07,0.9299912869864364,0.43187403993855605,0.5354210144831238,0.42259917206686615,1.6638605572034635,0.11155931824717175,0.21107506467236356,0.11197640863506249,1.6028945635929748,COMPLETE,0.42259917206686615,0.11197640863506249,0.43187403993855605,0.11155931824717175,1.6638605572034635,1.6028945635929748,0.5354210144831238,0.21107506467236356,39
